,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Easy Street Capital DSCR STANDARD SERIES Rate Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy Street Capital Signature Series (1-4 Unit DSCR) - Cash-Out Refi
"Note: See ""Standard Series Portfolios Loans"" tab for Rate Sheet for cross-collateralized Portfolio Loans and ""Standard Series (MF&MU)"" tab for Rate Sheet for loans secured by Multifamily (5-10 Units) and Mixed Use properties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Rates,Premium,,DSCR / Max LTV Master Matrices,,,,,,,,,,Adjustments: FICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",75.0%,,70.0%,,NA,,,"2%(12),1%(12),O(336)",-1.250,-1.250,-1.500,-1.500,-1.500,-1.500,-1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",75.0%,,70.0%,,NA,,,"1%(12),O(348)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",75.0%,,70.0%,,NA,,,O(360),-1.250,-1.250,-1.500,-1.500,-1.500,-1.500,-1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",65.0%,,65.0%,,NA,,,Note: The 2-year Prepayment Penalty-specific price ceiling found on the 'Scenario Tool' worksheet only applies to 2-year declining prepayment structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",65.0%,,NA,,NA,,,Adjustments: Rent Qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",65.0%,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",60.0%,,NA,,NA,,,Rent Qualification,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,LTR: In-Place/Market Rent,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,STR: TTM Actuals ,0.000,0.000,0.000,0.000,0.000,0.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,620-639,,"$100,001 - $125,000",NA,,NA,,NA,,,STR: STR 1007 Market Rent (80%),0.000,0.000,0.000,0.000,0.000,0.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",NA,,NA,,NA,,,STR: AirDNA Projections - 100% (Pro),0.000,0.000,0.000,0.000,0.000,0.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",NA,,NA,,NA,,,STR: AirDNA Projections - 80%,0.000,0.000,0.000,0.000,0.000,0.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",NA,,NA,,NA,,,STR: AirDNA Projections - 75%,0.000,0.000,0.000,0.000,0.000,0.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",NA,,NA,,NA,,,Note: Maximum LTV on STR Rent Qualification for Rate-Term Refinance and Cash-Out Refinance is 70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",NA,,NA,,NA,,,Adjustments: 30 Day Mortgage Lates Last 12 Months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",NA,,NA,,NA,,,30 Day Mortgage Lates Last 12 Months?,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",NA,,NA,,NA,,,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",NA,,NA,,NA,,,1,-0.250,-0.250,-0.250,-0.250,-0.500,-0.500,-1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,2+,-1.000,-1.000,-1.000,-1.500,-2.000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DSCR 1.00x - 1.14x,,,,,,,,,,Adjustments: Loan Purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO/Loan Size,,,Loan Purpose/LTV Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,Loan Purpose,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
